SYSTEM,TAG NUMBER,DESCRIPTION,reduced_tag,reduced_desc,col,unit,comment,ENG UNIT,tag_desc_uom
TURBINE UNIT 2,20MAG10CT005.AV,STEAM TEMPERATURE IN CONDENSER MAG10CT005XXX,MAG10CT005.AV,STEAM TEMPERATURE IN CONDENSER,MAG10CT005.AV_STEAM TEMPERATURE IN CONDENSER,2,12,C,20MAG10CT005.AV_STEAM TEMPERATURE IN CONDENSER MAG10CT005XXX_C
TURBINE UNIT 2,20MAG10CT005X.AV,STEAM TEMPERATURE IN CONDENSER MAG10CT005,MAG10CT005X.AV,STEAM TEMPERATURE IN CONDENSER,MAG10CT005X.AV_STEAM TEMPERATURE IN CONDENSER,2,12,C,20MAG10CT005X.AV_STEAM TEMPERATURE IN CONDENSER MAG10CT005_C
TURBINE UNIT 2,20MAG10CT901.AV,STEAM TEMPERATURE IN CONDENSER MAG10CT901XXX,MAG10CT901.AV,STEAM TEMPERATURE IN CONDENSER,MAG10CT901.AV_STEAM TEMPERATURE IN CONDENSER,2,12,C,20MAG10CT901.AV_STEAM TEMPERATURE IN CONDENSER MAG10CT901XXX_C
TURBINE UNIT 2,20MAG10CT901X.AV,STEAM TEMPERATURE IN CONDENSER MAG10CT901,MAG10CT901X.AV,STEAM TEMPERATURE IN CONDENSER,MAG10CT901X.AV_STEAM TEMPERATURE IN CONDENSER,2,12,C,20MAG10CT901X.AV_STEAM TEMPERATURE IN CONDENSER MAG10CT901_C
TURBINE UNIT 2,20MAG10CT903.AV,STEAM TEMPERATURE IN CONDENSER TRIP VAL MAG10CT903,MAG10CT903.AV,STEAM TEMPERATURE IN CONDENSER TRIP VAL,MAG10CT903.AV_STEAM TEMPERATURE IN CONDENSER TRIP VAL,2,12,C,20MAG10CT903.AV_STEAM TEMPERATURE IN CONDENSER TRIP VAL MAG10CT903_C
TURBINE UNIT 2,20MAK10CT001.AV,GEAR BOX RADIAL BEARING TEMPERATURE - PINION MAK10CT001,MAK10CT001.AV,GEAR BOX RADIAL BEARING TEMPERATURE - PINION,MAK10CT001.AV_GEAR BOX RADIAL BEARING TEMPERATURE - PINION,2,12,C,20MAK10CT001.AV_GEAR BOX RADIAL BEARING TEMPERATURE - PINION MAK10CT001_C
TURBINE UNIT 2,20MAK10CT002.AV,GEAR BOX RADIAL BEARING TEMPERATURE - PINION MAK10CT002,MAK10CT002.AV,GEAR BOX RADIAL BEARING TEMPERATURE - PINION,MAK10CT002.AV_GEAR BOX RADIAL BEARING TEMPERATURE - PINION,2,12,C,20MAK10CT002.AV_GEAR BOX RADIAL BEARING TEMPERATURE - PINION MAK10CT002_C
TURBINE UNIT 2,20MAK10CT003.AV,GEAR BOX RADIAL BEARING TEMPERATURE - WHEEL MAK10CT003,MAK10CT003.AV,GEAR BOX RADIAL BEARING TEMPERATURE - WHEEL,MAK10CT003.AV_GEAR BOX RADIAL BEARING TEMPERATURE - WHEEL,2,12,C,20MAK10CT003.AV_GEAR BOX RADIAL BEARING TEMPERATURE - WHEEL MAK10CT003_C
TURBINE UNIT 2,20MAK10CT004.AV,GEAR BOX RADIAL BEARING TEMPERATURE - WHEEL MAK10CT004,MAK10CT004.AV,GEAR BOX RADIAL BEARING TEMPERATURE - WHEEL,MAK10CT004.AV_GEAR BOX RADIAL BEARING TEMPERATURE - WHEEL,2,12,C,20MAK10CT004.AV_GEAR BOX RADIAL BEARING TEMPERATURE - WHEEL MAK10CT004_C
TURBINE UNIT 2,20MAK10CT005.AV,GEAR BOX AXIAL BEARING TEMPERATURE MAK10CT005,MAK10CT005.AV,GEAR BOX AXIAL BEARING TEMPERATURE,MAK10CT005.AV_GEAR BOX AXIAL BEARING TEMPERATURE,2,12,C,20MAK10CT005.AV_GEAR BOX AXIAL BEARING TEMPERATURE MAK10CT005_C
TURBINE UNIT 2,20MAK10CT006.AV,GEAR BOX AXIAL BEARING TEMPERATURE MAK10CT006,MAK10CT006.AV,GEAR BOX AXIAL BEARING TEMPERATURE,MAK10CT006.AV_GEAR BOX AXIAL BEARING TEMPERATURE,2,12,C,20MAK10CT006.AV_GEAR BOX AXIAL BEARING TEMPERATURE MAK10CT006_C
